machine_id,machine_name,machine_name_normalized,first_seen_date,last_seen_date,data_count,days_since_last_seen,weeks_since_last_seen,active_status
241,SLOTバジリスク～甲賀忍法帖～絆2,SLOTバジリスク～甲賀忍法帖～絆2,2020-02-26,2025-09-10,86,287,41.0,準現役
253,パチスロ ケロット4,パチスロ ケロット4,2020-03-11,2025-09-10,81,287,41.0,準現役
293,サンダーVライトニング,サンダーVライトニング,2020-04-30,2025-09-10,2,287,41.0,準現役
307,パチスロ モンキーターンⅣ,パチスロ モンキーターンⅣ,2020-06-03,2025-09-10,21,287,41.0,準現役
337,シャア専用パチスロ 逆襲の赤い彗星,シャア専用パチスロ 逆襲の赤い彗星,2020-08-12,2025-12-10,54,196,28.0,準現役
395,アイムジャグラーEX(2020年),アイムジャグラーEX(2020年),2021-01-04,2026-06-24,232,0,0.0,現役
397,パチスロひぐらしのなく頃に祭2,パチスロひぐらしのなく頃に祭2,2021-01-04,2025-09-10,17,287,41.0,準現役
411,パチスロ頭文字D,パチスロ頭文字D,2021-01-20,2025-09-10,91,287,41.0,準現役
432,パチスロ BIOHAZARD 7 resident evil,パチスロ BIOHAZARD 7 resident evil,2021-02-17,2025-09-10,91,287,41.0,準現役
442,PAわんわんパラダイスV GBA,PAわんわんパラダイスV GBA,2021-03-17,2024-10-30,183,602,86.0,準現役
453,パチスロ北斗の拳 宿命,パチスロ北斗の拳 宿命,2021-03-17,2025-09-10,18,287,41.0,準現役
469,ニューパルサーSPⅢ,ニューパルサーSPⅢ,2021-04-14,2025-09-10,73,287,41.0,準現役
492,P大海物語4 スペシャル BLACK SCA,P大海物語4 スペシャル BLACK SCA,2021-06-02,2024-09-25,140,637,91.0,準現役
503,チバリヨ-30(2021年),チバリヨ-30(2021年),2021-06-16,2025-09-10,110,287,41.0,準現役
511,P NEW TOKIO ハカマタイプ,P NEW TOKIO ハカマタイプ,2021-07-07,2026-06-24,184,0,0.0,現役
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,2021-08-11,2025-09-10,8,287,41.0,準現役
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,2021-09-29,2025-05-07,168,413,59.0,準現役
