machine_id,machine_name,latest_out_per_unit,avg_out_4w,avg_out_8w,avg_out_12w,avg_out_26w,trend_rate_4w,trend_rate_12w,trend_rate_4w_vs_26w,volatility_12w,volatility_26w,trend_score,trend_strength
241,SLOTバジリスク～甲賀忍法帖～絆2,1634.0,3951.5,4217.0,4314.666666666667,4520.884615384615,-0.1184606804238706,-0.08058386902013696,-0.12594539870515467,0.23239862409542664,0.17387262616130472,20.0,強い下降
253,パチスロ ケロット4,4825.0,4338.5,4274.625,4265.333333333333,4218.576923076923,0.03033901323992163,0.008611346483535828,0.028427377077578163,0.054167220937674995,0.06463176964688322,52.2,横ばい
293,サンダーVライトニング,3591.0,6449.5,6449.5,6449.5,6449.5,,,0.0,0.6267973436767954,0.6267973436767954,24.9,強い下降
307,パチスロ モンキーターンⅣ,2216.0,4014.0,4230.0,5083.083333333333,7224.428571428572,-0.09716599190283401,,-0.44438512190781276,0.41871027798765176,0.4142686006943849,21.6,強い下降
337,シャア専用パチスロ 逆襲の赤い彗星,6288.0,5965.5,5824.0,5657.166666666667,5069.461538461538,0.04980202375714914,0.22026890997986776,0.1767521964098752,0.07229466319790805,0.16303173585080818,70.7,上昇
395,アイムジャグラーEX(2020年),7937.0,7554.0,7996.125,7918.166666666667,8092.192307692308,-0.10479068527242023,-0.021250296144456615,-0.06650760229470952,0.09822110288290616,0.08438357964339922,31.8,下降
397,パチスロひぐらしのなく頃に祭2,6793.0,7810.75,8454.25,9357.416666666666,11355.64705882353,-0.14146354867961858,,-0.31217041534142126,0.17377156849212022,0.3374050799221548,26.1,強い下降
411,パチスロ頭文字D,2883.0,4984.75,5216.375,5374.75,5567.961538461538,-0.08503120411160059,-0.07627859014937767,-0.10474417512278344,0.18612969300899793,0.155618191292744,26.2,強い下降
432,パチスロ BIOHAZARD 7 resident evil,2885.0,4794.5,4693.75,4939.416666666667,6097.2307692307695,0.04387110820814283,-0.2965380552819283,-0.21365941663302385,0.17121985452351762,0.2167286531842063,24.7,強い下降
442,PAわんわんパラダイスV GBA,9480.0,9760.0,10307.5,10685.833333333334,10902.307692307691,-0.10087517273146016,-0.020920821562189704,-0.10477668806886327,0.09581765504846275,0.07646624033053766,32.4,下降
453,パチスロ北斗の拳 宿命,1879.0,3540.75,4827.0,5947.833333333333,7969.222222222223,-0.42080726291252607,,-0.5556969173068611,0.37854839080269936,0.4847991824304593,0.0,強い下降
