machine_id,machine_name,latest_data_date,first_seen_date,last_seen_date,certification_date,data_weeks,weeks_from_first_seen,latest_out_per_unit,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,latest_sales_per_unit,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_profit_per_unit,avg_profit_4w,avg_profit_12w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_ratio,trend,life_stage,rank_out_4w,rank_sales_4w,rank_profit_4w,operation_score
1,BLACK LAGOON2,2026-06-24,2019-09-04,2021-01-20,,66,355,13494.0,14344.75,12353.916666666666,12627.653846153846,12115.596153846154,11567.439393939394,43528.0,46690.5,40712.833333333336,38314.34848484849,11707.0,13042.75,9768.5,8994.30303030303,15864.0,2021-01-06,0.8506051437216339,上昇,成長・高稼働期,232.0,29.0,4.0,90.9
2,CR 009 RE:CYBORG S2R-K,2026-06-24,2019-09-04,2021-01-20,,67,355,13570.0,14280.0,12657.5,13040.384615384615,13060.0,13242.686567164179,25998.0,27035.75,23839.333333333332,24701.31343283582,6282.0,6588.0,4971.916666666667,4983.6567164179105,18910.0,2020-01-08,0.7176097303014278,上昇,成熟期,234.0,332.0,104.0,84.3
3,CR J-RUSH3 HSJ,2026-06-24,2019-09-04,2021-11-17,,108,355,14570.0,14420.0,14765.0,14189.23076923077,13731.73076923077,15231.851851851852,23519.0,23112.75,23307.75,23782.37037037037,2795.0,3526.5,3494.8333333333335,3234.425925925926,24300.0,2020-01-08,0.5995884773662551,横ばい,下降期,225.0,557.0,824.0,74.6
4,CR RAVE この世界こそが真実だ FPM,2026-06-24,2019-09-04,2022-01-26,,118,355,13080.0,14427.5,12794.166666666666,12808.846153846154,13042.884615384615,14604.06779661017,27770.0,29956.75,26592.5,29509.381355932204,6938.0,6131.0,5410.916666666667,5387.813559322034,23150.0,2020-01-08,0.5650107991360691,上昇,下降期,224.0,228.0,140.0,82.8
5,CRA大海物語3withアグネス・ラム SAP,2026-06-24,2019-09-04,2022-02-09,,121,355,16640.0,16612.5,16253.333333333334,15730.384615384615,15607.307692307691,16464.462809917357,19034.0,19873.75,19854.75,19887.01652892562,2688.0,2903.5,2779.5833333333335,2584.818181818182,21770.0,2020-02-19,0.7643546164446486,横ばい,成熟期,126.0,865.0,1099.0,74.2
6,CRA暴れん坊将軍 怪談 FPW,2026-06-24,2019-09-04,2020-10-14,,26,355,9150.0,9815.0,9494.166666666666,11258.076923076924,11258.076923076924,11258.076923076924,12503.0,13326.25,12731.833333333334,14921.961538461539,3180.0,3206.5,2816.0833333333335,3310.8076923076924,13800.0,2019-09-04,0.6630434782608695,微増,成熟期,768.0,1376.0,957.0,49.4
7,CRA祭りだ!サブちゃん,2026-06-24,2019-09-04,2021-04-07,,75,355,15910.0,16362.5,15808.333333333334,15468.846153846154,15331.73076923077,16108.0,10083.0,10264.5,9890.0,10011.76,2806.0,2279.5,2088.8333333333335,2049.826666666667,19750.0,2019-09-11,0.8055696202531646,微増,成熟期,134.0,1472.0,1322.0,65.0
8,CRA遠山の金さん 二人の遠山桜 FPW,2026-06-24,2019-09-04,2019-11-27,,12,355,13090.0,13152.5,13408.333333333334,13408.333333333334,13408.333333333334,13408.333333333334,15935.0,16147.25,16348.416666666666,16348.416666666666,3329.0,3504.25,3307.75,3307.75,14420.0,2019-09-04,0.9077669902912622,横ばい,成長・高稼働期,316.0,1186.0,836.0,68.2
9,CRぱちんこコードギアス 反逆のルルーシュ Z4,2026-06-24,2019-09-04,2019-11-20,,12,355,14190.0,14712.5,13545.0,13545.0,13545.0,13545.0,24176.0,24768.5,22749.916666666668,22749.916666666668,5918.0,5616.0,5080.25,5080.25,15550.0,2019-11-13,0.912540192926045,微増,成長・高稼働期,206.0,457.0,191.0,85.2
10,CRスーパー海物語 IN JAPAN 319バージョン,2026-06-24,2019-09-04,2022-02-09,,85,355,12940.0,16420.0,15975.0,14871.923076923076,13920.0,14539.764705882353,18843.0,24699.0,24505.333333333332,22065.34117647059,2215.0,2655.75,2991.25,2282.6,18670.0,2022-01-12,0.6930905195500804,横ばい,成熟期,131.0,462.0,1191.0,77.4
11,CRスーパー海物語 IN JAPAN 金富士 新MAX319バージョン,2026-06-24,2019-09-04,2021-04-14,,74,355,12370.0,12475.0,12677.5,12740.76923076923,13668.461538461539,14417.297297297297,19985.0,20033.25,20391.75,22855.87837837838,3935.0,3301.0,3421.0833333333335,3302.8783783783783,19340.0,2020-01-08,0.639607032057911,横ばい,下降期,368.0,851.0,922.0,66.9
