machine_id,machine_name,formal_machine_name,category,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,first_report_date,latest_report_date,data_count,avg_operation,latest_operation,avg_operation_4w,avg_operation_12w,max_operation,min_operation,avg_sales,latest_sales,avg_gross_profit,latest_gross_profit,operation_contribution_weeks,popularity_score,profit_score,lifecycle_score,profit_tolerance_score,overall_score,overall_grade,ai_comment
P_aff8e215b5,Pうまい棒 4500から10500 V1,Pうまい棒 4500から10500 V1,P,平和,,,パチンコ,False,False,2021-10-13,2021-10-20,2,44475.0,42520,44475.0,44475.0,46430,42520,83538.0,82077,18080.5,20375,2,80.04,98.22,40.53,98.67,75.62,A,Pうまい棒 4500から10500 V1は、平均稼働44475、平均粗利18080、稼働貢献週2週。人気指数80.0、粗利指数98.2、寿命指数40.5の評価。
P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,e 東京喰種 超デカ 超一撃 ver.,P,ビスティ,東京喰種,,スマパチ,True,False,2026-06-17,2026-06-24,2,42600.0,41270,42600.0,42600.0,43930,41270,93030.0,91375,12211.5,13047,2,75.7,78.68,38.74,82.96,67.35,B,e 東京喰種 超デカ 超一撃 ver.は、平均稼働42600、平均粗利12212、稼働貢献週2週。人気指数75.7、粗利指数78.7、寿命指数38.7の評価。
P_98f2441ab7,P魔法少女まどか☆マギカ3 LM3,P魔法少女まどか☆マギカ3 LM3,P,京楽産業．,まどか☆マギカ,,パチンコ,False,False,2024-06-12,2024-09-11,13,36170.0,25670,29410.0,35464.166666666664,44640,25670,76995.07692307692,55778,13586.23076923077,8824,13,59.98,78.96,32.68,79.27,58.85,B,P魔法少女まどか☆マギカ3 LM3は、平均稼働36170、平均粗利13586、稼働貢献週13週。人気指数60.0、粗利指数79.0、寿命指数32.7の評価。
P_282eb90cf7,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,P,ビスティ,エヴァンゲリオン,,パチンコ,False,False,2021-12-29,2023-07-26,81,33071.358024691355,27170,26995.0,26866.666666666668,47100,24910,64585.62962962963,54566,7985.320987654321,6194,81,61.93,59.5,44.74,62.87,56.9,B,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～は、平均稼働33071、平均粗利7985、稼働貢献週81週。人気指数61.9、粗利指数59.5、寿命指数44.7の評価。
P_d09f0720e9,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P,SANKYO,,,甘デジ/ライト,False,False,2023-05-24,2023-05-24,1,31680.0,31680,31680.0,31680.0,31680,31680,56218.0,56218,12961.0,12961,1,57.1,74.19,28.05,72.99,54.96,C,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.は、平均稼働31680、平均粗利12961、稼働貢献週1週。人気指数57.1、粗利指数74.2、寿命指数28.1の評価。
P_21f9173f52,ぱちんこCR聖戦士ダンバイン FWN,ぱちんこCR聖戦士ダンバイン FWN,S,サミー,,,パチンコ,False,False,2019-09-04,2022-01-26,118,23597.71186440678,20720,21002.5,18693.333333333332,35040,16940,50013.05084745763,44110,10444.271186440677,12095,118,50.7,61.26,47.54,58.44,53.08,C,ぱちんこCR聖戦士ダンバイン FWNは、平均稼働23598、平均粗利10444、稼働貢献週118週。人気指数50.7、粗利指数61.3、寿命指数47.5の評価。
P_dc3a0db759,eリコリス・リコイル M3,eリコリス・リコイル M3,P,ニューギン,,,スマパチ,True,False,2026-04-15,2026-06-24,11,31422.727272727272,22580,25060.0,31422.727272727272,43280,22580,71715.18181818182,52532,10762.272727272728,7790,11,51.67,67.15,28.18,67.58,50.44,C,eリコリス・リコイル M3は、平均稼働31423、平均粗利10762、稼働貢献週11週。人気指数51.7、粗利指数67.2、寿命指数28.2の評価。
S_10dbf8b240,Lスロット ソードアート・オンラインⅡ,Lスロット ソードアート・オンラインⅡ,S,大都技研,ソードアート・オンライン,,スマスロ,True,False,2026-06-17,2026-06-24,2,23476.0,22792,23476.0,23476.0,24160,22792,94257.0,92588,17361.0,16340,2,43.15,82.81,20.48,74.44,49.38,C,Lスロット ソードアート・オンラインⅡは、平均稼働23476、平均粗利17361、稼働貢献週2週。人気指数43.1、粗利指数82.8、寿命指数20.5の評価。
P_41c2e679b8,eとある科学の超電磁砲 PHASE NEXT LTRSY,eとある科学の超電磁砲 PHASE NEXT LTRSY,P,オレンジ,,,スマパチ,True,True,2025-10-16,2025-11-05,4,28462.5,22400,28462.5,28462.5,35410,22400,67810.0,54225,10827.25,9645,4,47.46,65.5,25.77,64.55,47.45,C,eとある科学の超電磁砲 PHASE NEXT LTRSYは、平均稼働28462、平均粗利10827、稼働貢献週4週。人気指数47.5、粗利指数65.5、寿命指数25.8の評価。
P_c1af1c56c9,P Re:ゼロから始める異世界生活 鬼がかりver.,P Re:ゼロから始める異世界生活 鬼がかりver.,P,大都技研,リゼロ,鬼がかり,パチンコ,False,False,2022-01-19,2025-02-05,139,24887.266187050358,8770,8970.0,9250.0,47540,8250,50646.69784172662,19274,8933.863309352519,3564,119,44.74,57.34,37.86,56.3,46.8,C,P Re:ゼロから始める異世界生活 鬼がかりver.は、平均稼働24887、平均粗利8934、稼働貢献週119週。人気指数44.7、粗利指数57.3、寿命指数37.9の評価。
