machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Pうまい棒 4500から10500 V1,P,2021-10-13,2,44475.0,46430,42520,83538.0,84999,18080.5,20375,2021-10-20,42520,82077,20375,2,44475.0,44475.0,P_aff8e215b5,Pうまい棒 4500から10500 V1,平和,,,パチンコ,False,False,100.0,100.0,97.58,0.88,98.67,80.04,98.22,40.53,75.62,A,Pうまい棒 4500から10500 V1は平均稼働44475、平均粗利18080、稼働貢献週2週。人気指数80.0、粗利指数98.2、寿命指数40.5。
e 東京喰種 超デカ 超一撃 ver.,P,2026-06-17,2,42600.0,43930,41270,93030.0,94685,12211.5,13047,2026-06-24,41270,91375,13047,2,42600.0,42600.0,P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,ビスティ,東京喰種,,スマパチ,True,False,95.52,96.98,72.69,0.88,82.96,75.7,78.68,38.74,67.35,B,e 東京喰種 超デカ 超一撃 ver.は平均稼働42600、平均粗利12212、稼働貢献週2週。人気指数75.7、粗利指数78.7、寿命指数38.7。
P魔法少女まどか☆マギカ3 LM3,P,2024-06-12,13,36170.0,44640,25670,76995.07692307692,90642,13586.23076923077,15696,2024-09-11,25670,55778,8824,13,29410.0,35464.166666666664,P_98f2441ab7,P魔法少女まどか☆マギカ3 LM3,京楽産業．,まどか☆マギカ,,パチンコ,False,False,80.18,59.29,78.52,5.75,79.27,59.98,78.96,32.68,58.85,B,P魔法少女まどか☆マギカ3 LM3は平均稼働36170、平均粗利13586、稼働貢献週13週。人気指数60.0、粗利指数79.0、寿命指数32.7。
Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,P,2021-12-29,81,33071.358024691355,47100,24910,64585.62962962963,87643,7985.320987654321,14078,2023-07-26,27170,54566,6194,81,26995.0,26866.666666666668,P_282eb90cf7,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,ビスティ,エヴァンゲリオン,,パチンコ,False,False,72.78,62.91,54.77,35.84,62.87,61.93,59.5,44.74,56.9,B,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～は平均稼働33071、平均粗利7985、稼働貢献週81週。人気指数61.9、粗利指数59.5、寿命指数44.7。
PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P,2023-05-24,1,31680.0,31680,31680,56218.0,56218,12961.0,12961,2023-05-24,31680,56218,12961,1,31680.0,31680.0,P_d09f0720e9,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,SANKYO,,,甘デジ/ライト,False,False,69.46,73.81,75.87,0.44,72.99,57.1,74.19,28.05,54.96,C,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.は平均稼働31680、平均粗利12961、稼働貢献週1週。人気指数57.1、粗利指数74.2、寿命指数28.1。
ぱちんこCR聖戦士ダンバイン FWN,P,2019-09-04,118,23597.71186440678,35040,16940,50013.05084745763,70567,10444.271186440677,16463,2022-01-26,20720,44110,12095,118,21002.5,18693.333333333332,P_21f9173f52,ぱちんこCR聖戦士ダンバイン FWN,サミー,,,パチンコ,False,False,50.17,47.33,65.2,52.21,58.44,50.7,61.26,47.54,53.08,C,ぱちんこCR聖戦士ダンバイン FWNは平均稼働23598、平均粗利10444、稼働貢献週118週。人気指数50.7、粗利指数61.3、寿命指数47.5。
eリコリス・リコイル M3,P,2026-04-15,11,31422.727272727272,43280,22580,71715.18181818182,95087,10762.272727272728,14884,2026-06-24,22580,52532,7790,11,25060.0,31422.727272727272,P_dc3a0db759,eリコリス・リコイル M3,ニューギン,,,スマパチ,True,False,68.85,51.82,66.55,4.87,67.58,51.67,67.15,28.18,50.44,C,eリコリス・リコイル M3は平均稼働31423、平均粗利10762、稼働貢献週11週。人気指数51.7、粗利指数67.2、寿命指数28.2。
eとある科学の超電磁砲 PHASE NEXT LTRSY,P,2025-10-16,4,28462.5,35410,22400,67810.0,82701,10827.25,11913,2025-11-05,22400,54225,9645,4,28462.5,28462.5,P_41c2e679b8,eとある科学の超電磁砲 PHASE NEXT LTRSY,オレンジ,,,スマパチ,True,True,61.78,51.39,66.82,1.77,64.55,47.46,65.5,25.77,47.45,C,eとある科学の超電磁砲 PHASE NEXT LTRSYは平均稼働28462、平均粗利10827、稼働貢献週4週。人気指数47.5、粗利指数65.5、寿命指数25.8。
P Re:ゼロから始める異世界生活 鬼がかりver.,P,2022-01-19,139,24887.266187050358,47540,8250,50646.69784172662,89578,8933.863309352519,18575,2025-02-05,8770,19274,3564,119,8970.0,9250.0,P_c1af1c56c9,P Re:ゼロから始める異世界生活 鬼がかりver.,大都技研,リゼロ,鬼がかり,パチンコ,False,False,53.25,18.45,58.79,52.65,56.3,44.74,57.34,37.86,46.8,C,P Re:ゼロから始める異世界生活 鬼がかりver.は平均稼働24887、平均粗利8934、稼働貢献週119週。人気指数44.7、粗利指数57.3、寿命指数37.9。
P大海物語5 MTE2,P,2023-02-15,168,20555.714285714286,36320,14990,33220.982142857145,55616,2595.095238095238,5126,2026-06-24,17570,28572,2203,168,16402.5,17050.833333333332,P_0264d647ff,P大海物語5 MTE2,三洋,海物語,大海5,パチンコ,False,False,42.91,39.72,31.91,74.34,36.86,47.79,34.8,58.19,46.49,C,P大海物語5 MTE2は平均稼働20556、平均粗利2595、稼働貢献週168週。人気指数47.8、粗利指数34.8、寿命指数58.2。
Pアズールレーン THE ANIMATION 異次元トリガー M4,P,2024-07-17,8,28541.25,41350,18130,60764.125,84678,10303.625,13376,2024-09-11,18130,39355,6585,8,21417.5,28541.25,P_0a0aa73d6e,Pアズールレーン THE ANIMATION 異次元トリガー M4,京楽産業．,,,パチンコ,False,False,61.97,41.07,64.6,3.54,63.42,45.2,63.91,24.36,45.6,C,Pアズールレーン THE ANIMATION 異次元トリガー M4は平均稼働28541、平均粗利10304、稼働貢献週8週。人気指数45.2、粗利指数63.9、寿命指数24.4。
eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,P,2026-06-17,2,26810.0,30150,23470,66822.5,74425,10084.0,10834,2026-06-24,23470,59220,9334,2,26810.0,26810.0,P_4604205b4a,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,大都技研,ソードアート・オンライン,,スマパチ,True,False,57.84,53.97,63.67,0.88,61.05,45.8,62.14,23.66,45.17,C,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08は平均稼働26810、平均粗利10084、稼働貢献週2週。人気指数45.8、粗利指数62.1、寿命指数23.7。
e 東京喰種 W,P,2025-04-30,57,25497.543859649122,43260,18980,56059.59649122807,92899,7051.333333333333,15456,2026-06-24,20450,45839,4408,57,20730.0,20812.5,P_09426a8154,e 東京喰種 W,ビスティ,東京喰種,,スマパチ,True,False,54.7,46.67,50.81,25.22,52.56,46.58,51.83,32.51,44.64,C,e 東京喰種 Wは平均稼働25498、平均粗利7051、稼働貢献週57週。人気指数46.6、粗利指数51.8、寿命指数32.5。
P NEW TOKIO ハカマタイプ,P,2021-07-07,184,15608.315217391304,23900,13310,9867.391304347826,14408,1219.429347826087,2647,2026-06-24,15490,9597,734,184,15182.5,15146.666666666666,P_4e40148999,P NEW TOKIO ハカマタイプ,アムテックス,,,パチンコ,False,False,31.1,34.69,26.08,81.42,28.34,41.79,27.4,60.86,42.24,C,P NEW TOKIO ハカマタイプは平均稼働15608、平均粗利1219、稼働貢献週184週。人気指数41.8、粗利指数27.4、寿命指数60.9。
ぱちんこCR真・北斗無双 FWN,P,2019-09-04,129,20591.24031007752,32790,11750,36883.46511627907,56622,3533.3488372093025,9032,2022-04-06,13960,25174,3262,129,15455.0,16500.833333333332,P_b02cfe2aef,ぱちんこCR真・北斗無双 FWN,サミー,北斗の拳,無双,パチンコ,False,False,42.99,30.99,35.89,57.08,39.09,42.42,37.76,47.16,42.21,C,ぱちんこCR真・北斗無双 FWNは平均稼働20591、平均粗利3533、稼働貢献週129週。人気指数42.4、粗利指数37.8、寿命指数47.2。
