machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Lスロット ソードアート・オンラインⅡ,S,2026-06-17,2,23476.0,24160,22792,94257.0,95926,17361.0,18382,2026-06-24,22792,92588,16340,2,23476.0,23476.0,S_10dbf8b240,Lスロット ソードアート・オンラインⅡ,大都技研,ソードアート・オンライン,,スマスロ,True,False,49.88,52.33,94.53,0.88,74.44,43.15,82.81,20.48,49.38,C,Lスロット ソードアート・オンラインⅡは平均稼働23476、平均粗利17361、稼働貢献週2週。人気指数43.1、粗利指数82.8、寿命指数20.5。
マイジャグラーⅤ,S,2021-12-22,226,13528.398230088496,16697,11735,23759.58407079646,28532,3113.20796460177,5719,2026-06-24,13892,24246,2714,226,13567.75,13810.083333333334,S_c20b177fd4,マイジャグラーⅤ,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,26.13,30.83,34.11,100.0,30.52,42.52,32.02,70.64,46.4,C,マイジャグラーⅤは平均稼働13528、平均粗利3113、稼働貢献週226週。人気指数42.5、粗利指数32.0、寿命指数70.6。
Lスマスロ ミリオンゴッド-神々の軌跡-,S,2026-04-29,9,18444.777777777777,25831,13303,75354.44444444444,105058,18651.88888888889,31730,2026-06-24,13303,55564,12259,9,14473.25,18444.777777777777,S_898752fa3b,Lスマスロ ミリオンゴッド-神々の軌跡-,ミズホ,ゴッド,,スマスロ,True,False,37.87,29.41,100.0,3.98,72.04,32.39,83.69,16.11,43.71,C,Lスマスロ ミリオンゴッド-神々の軌跡-は平均稼働18445、平均粗利18652、稼働貢献週9週。人気指数32.4、粗利指数83.7、寿命指数16.1。
L戦国乙女5 業火を穿つ宿焔の双刃,S,2026-06-17,2,24078.0,24933,23223,77799.5,78850,10571.0,10602,2026-06-24,23223,76749,10540,2,24078.0,24078.0,S_51e27eda14,L戦国乙女5 業火を穿つ宿焔の双刃,オリンピア,戦国乙女,,スマスロ,True,False,51.31,53.37,65.73,0.88,59.24,42.53,61.94,21.05,42.98,C,L戦国乙女5 業火を穿つ宿焔の双刃は平均稼働24078、平均粗利10571、稼働貢献週2週。人気指数42.5、粗利指数61.9、寿命指数21.1。
Re:ゼロから始める異世界生活 鬼がかりver.,S,2023-07-26,16,23516.25,26550,20820,49446.3125,55281,8570.375,10894,2023-11-08,23820,50350,9231,16,22682.5,22836.666666666668,S_485642e8a3,Re:ゼロから始める異世界生活 鬼がかりver.,大都技研,リゼロ,鬼がかり,スロット,False,False,49.97,54.82,57.25,7.08,53.97,43.0,55.34,23.53,41.83,C,Re:ゼロから始める異世界生活 鬼がかりver.は平均稼働23516、平均粗利8570、稼働貢献週16週。人気指数43.0、粗利指数55.3、寿命指数23.5。
SLOTギルティクラウン,S,2019-09-04,119,13681.302521008403,18969,7817,35947.20168067227,48286,5271.361344537815,10306,2022-02-09,18840,44951,5781,107,18280.25,16869.833333333332,S_08e205659f,SLOTギルティクラウン,エレコ,,,パチスロ,False,False,26.5,42.78,43.26,47.35,35.72,35.66,38.86,42.56,38.34,D,SLOTギルティクラウンは平均稼働13681、平均粗利5271、稼働貢献週107週。人気指数35.7、粗利指数38.9、寿命指数42.6。
遊moreLT PエガブレイブVVV AX4,S,2026-06-17,2,18550.0,21760,15340,24095.5,28189,10986.5,13219,2026-06-24,15340,20002,8754,2,18550.0,18550.0,S_2791021c15,遊moreLT PエガブレイブVVV AX4,豊丸,,,スロット,False,True,38.12,34.33,67.5,0.88,54.28,31.34,59.79,15.78,35.98,D,遊moreLT PエガブレイブVVV AX4は平均稼働18550、平均粗利10986、稼働貢献週2週。人気指数31.3、粗利指数59.8、寿命指数15.8。
沖ドキ!,S,2019-09-04,67,13079.791044776119,17416,9093,50732.611940298506,65558,8582.955223880597,13516,2021-01-20,15975,61031,12304,65,14816.75,12951.25,S_6ab5fbcb89,沖ドキ!,アクロス,沖ドキ,,沖スロ,False,False,25.06,35.86,57.3,28.76,42.79,30.27,48.84,27.83,35.23,D,沖ドキ!は平均稼働13080、平均粗利8583、稼働貢献週65週。人気指数30.3、粗利指数48.8、寿命指数27.8。
キュインぱちんこ P南国育ち デカパトver.,S,2020-01-15,7,23157.14285714286,41340,13110,36933.142857142855,64655,6293.857142857143,10813,2020-02-26,13110,21126,3536,7,16132.5,23157.14285714286,P_485f41fa0f,キュインぱちんこ P南国育ち デカパトver.,アムテックス,,,パチンコ,False,False,49.12,28.94,47.6,3.1,48.28,34.79,48.0,18.99,34.8,D,キュインぱちんこ P南国育ち デカパトver.は平均稼働23157、平均粗利6294、稼働貢献週7週。人気指数34.8、粗利指数48.0、寿命指数19.0。
L真打 吉宗,S,2026-04-15,11,15577.363636363636,21102,12161,64265.36363636364,86415,11425.0,17605,2026-06-24,12161,50756,8269,11,13151.5,15577.363636363636,S_43d2165990,L真打 吉宗,大都技研,吉宗,,スマスロ,True,False,31.02,26.65,69.36,4.87,52.11,26.81,59.3,14.46,33.47,D,L真打 吉宗は平均稼働15577、平均粗利11425、稼働貢献週11週。人気指数26.8、粗利指数59.3、寿命指数14.5。
