machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_sales_4w,avg_gross_profit_4w,recent_week_count,avg_operation_12w,avg_gross_profit_12w,recent12_week_count,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,is_active,latest_operation_score,recent4_operation_score,recent12_operation_score,recent_profit_score,long_lifecycle_score,latest_rank_in_category,recent_rank_penalty,active_popularity_score,legend_score,asset_score,active_grade,legend_grade,asset_grade,ai_comment
Lスロット ソードアート・オンラインⅡ,S,2026-06-17,2,23476.0,24160,22792,94257.0,95926,17361.0,18382,2026-06-24,22792,92588,16340,2,23476.0,94257.0,17361.0,2.0,23476.0,17361.0,2.0,S_10dbf8b240,Lスロット ソードアート・オンラインⅡ,大都技研,ソードアート・オンライン,,スマスロ,True,False,True,52.33,48.78,48.98,100.0,0.88,3.0,0,52.6,43.11,70.41,C,C,A,Lスロット ソードアート・オンラインⅡは最新稼働22792、直近4週平均稼働23476、稼働貢献週2週。現役人気指数52.6、長期名機指数43.1、ホール資産指数70.4。
L戦国乙女5 業火を穿つ宿焔の双刃,S,2026-06-17,2,24078.0,24933,23223,77799.5,78850,10571.0,10602,2026-06-24,23223,76749,10540,2,24078.0,77799.5,10571.0,2.0,24078.0,10571.0,2.0,S_51e27eda14,L戦国乙女5 業火を穿つ宿焔の双刃,オリンピア,戦国乙女,,スマスロ,True,False,True,53.37,50.39,50.58,62.66,0.88,2.0,0,50.06,38.1,51.4,C,D,C,L戦国乙女5 業火を穿つ宿焔の双刃は最新稼働23223、直近4週平均稼働24078、稼働貢献週2週。現役人気指数50.1、長期名機指数38.1、ホール資産指数51.4。
Lスマスロ ミリオンゴッド-神々の軌跡-,S,2026-04-29,9,18444.777777777777,25831,13303,75354.44444444444,105058,18651.88888888889,31730,2026-06-24,13303,55564,12259,9,15372.5,63445.333333333336,13828.5,6.0,18444.777777777777,18651.88888888889,9.0,S_898752fa3b,Lスマスロ ミリオンゴッド-神々の軌跡-,ミズホ,ゴッド,,スマスロ,True,False,True,29.41,27.08,35.56,80.57,3.98,19.0,0,33.24,42.22,62.51,D,C,B,Lスマスロ ミリオンゴッド-神々の軌跡-は最新稼働13303、直近4週平均稼働15372、稼働貢献週9週。現役人気指数33.2、長期名機指数42.2、ホール資産指数62.5。
マイジャグラーⅤ,S,2021-12-22,226,13528.398230088496,16697,11735,23759.58407079646,28532,3113.20796460177,5719,2026-06-24,13892,24246,2714,226,13507.5,23428.166666666668,2455.3333333333335,6.0,13744.538461538461,2784.3076923076924,13.0,S_c20b177fd4,マイジャグラーⅤ,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,True,30.83,22.08,23.02,18.03,100.0,14.0,0,28.34,50.53,36.97,D,C,D,マイジャグラーⅤは最新稼働13892、直近4週平均稼働13508、稼働貢献週226週。現役人気指数28.3、長期名機指数50.5、ホール資産指数37.0。
L真打 吉宗,S,2026-04-15,11,15577.363636363636,21102,12161,64265.36363636364,86415,11425.0,17605,2026-06-24,12161,50756,8269,11,13178.833333333334,54754.0,8996.0,6.0,15577.363636363636,11425.0,11.0,S_43d2165990,L真打 吉宗,大都技研,吉宗,,スマスロ,True,False,True,26.65,21.2,27.91,54.0,4.87,25.0,0,26.31,32.34,43.81,D,D,C,L真打 吉宗は最新稼働12161、直近4週平均稼働13179、稼働貢献週11週。現役人気指数26.3、長期名機指数32.3、ホール資産指数43.8。
Lスマスロ 甲鉄城のカバネリ 海門決戦,S,2026-03-11,16,18261.8125,25917,12773,55547.125,73667,5504.875,10497,2026-06-24,12773,39827,2313,16,14038.333333333334,43232.666666666664,2190.8333333333335,6.0,16797.615384615383,4570.384615384615,13.0,S_6bbcd56426,Lスマスロ 甲鉄城のカバネリ 海門決戦,サミー,,海門決戦,スマスロ,True,False,True,28.12,23.5,31.16,16.58,7.08,22.0,0,24.52,31.91,26.57,D,D,D,Lスマスロ 甲鉄城のカバネリ 海門決戦は最新稼働12773、直近4週平均稼働14038、稼働貢献週16週。現役人気指数24.5、長期名機指数31.9、ホール資産指数26.6。
Lパチスロうみねこのなく頃に2,S,2026-02-11,20,17828.25,24203,12541,28101.7,35513,-341.05,899,2026-06-24,12541,21243,-690,20,13464.666666666666,22591.833333333332,-773.5,6.0,15433.76923076923,-648.1538461538462,13.0,S_6ebbb5041b,Lパチスロうみねこのなく頃に2,ｵｰｲｽﾞﾐ･ｱﾐｭｰｼﾞｵ,,,スマスロ,True,False,True,27.56,21.97,27.52,0.27,8.85,24.0,0,21.65,26.46,13.7,D,D,D,Lパチスロうみねこのなく頃に2は最新稼働12541、直近4週平均稼働13465、稼働貢献週20週。現役人気指数21.6、長期名機指数26.5、ホール資産指数13.7。
SBニューキングハナハナV-30,S,2026-01-14,24,13007.125,17810,11496,23424.541666666668,29478,2108.5416666666665,3252,2026-06-24,12669,22839,1745,24,12279.833333333334,22168.333333333332,1801.5,6.0,12534.076923076924,2180.230769230769,13.0,S_271044d750,SBニューキングハナハナV-30,パイオニア,ハナハナ,,Aタイプ/ノーマル,False,False,True,27.87,18.79,19.79,14.44,10.62,23.0,0,20.82,22.96,20.35,D,D,D,SBニューキングハナハナV-30は最新稼働12669、直近4週平均稼働12280、稼働貢献週24週。現役人気指数20.8、長期名機指数23.0、ホール資産指数20.4。
沖ドキ!ゴージャス-30,S,2024-12-11,76,11811.184210526315,16053,10365,44392.31578947369,58930,6488.289473684211,11017,2026-06-24,11090,41477,5625,76,10689.333333333334,40016.166666666664,5468.333333333333,6.0,11101.615384615385,6079.846153846154,13.0,S_261aa58496,沖ドキ!ゴージャス-30,エレコ,沖ドキ,,沖スロ,False,False,True,24.06,14.53,15.96,34.6,33.63,36.0,0,20.57,31.98,34.27,D,D,D,沖ドキ!ゴージャス-30は最新稼働11090、直近4週平均稼働10689、稼働貢献週76週。現役人気指数20.6、長期名機指数32.0、ホール資産指数34.3。
ゴーゴージャグラー3,S,2023-07-12,148,10972.601351351352,21613,9398,20222.432432432433,33774,2825.5810810810813,4797,2026-06-24,11045,20278,2524,127,10603.0,19449.0,2430.1666666666665,6.0,10926.153846153846,2592.230769230769,13.0,S_d538e468e0,ゴーゴージャグラー3,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,True,23.95,14.3,15.5,17.89,56.19,38.0,0,19.83,37.36,27.99,D,D,D,ゴーゴージャグラー3は最新稼働11045、直近4週平均稼働10603、稼働貢献週127週。現役人気指数19.8、長期名機指数37.4、ホール資産指数28.0。
