machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_sales_4w,avg_gross_profit_4w,recent_week_count,avg_operation_12w,avg_gross_profit_12w,recent12_week_count,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,is_active,latest_operation_score,recent4_operation_score,recent12_operation_score,recent_profit_score,long_lifecycle_score,latest_rank_in_category,recent_rank_penalty,active_popularity_score,legend_score,asset_score,active_grade,legend_grade,asset_grade,ai_comment
マイジャグラーⅤ,S,2021-12-22,226,13528.398230088496,16697,11735,23759.58407079646,28532,3113.20796460177,5719,2026-06-24,13892,24246,2714,226,13507.5,23428.166666666668,2455.3333333333335,6.0,13744.538461538461,2784.3076923076924,13.0,S_c20b177fd4,マイジャグラーⅤ,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,True,30.83,22.08,23.02,18.03,100.0,14.0,0,28.34,50.53,36.97,D,C,D,マイジャグラーⅤは最新稼働13892、直近4週平均稼働13508、稼働貢献週226週。現役人気指数28.3、長期名機指数50.5、ホール資産指数37.0。
Lスロット ソードアート・オンラインⅡ,S,2026-06-17,2,23476.0,24160,22792,94257.0,95926,17361.0,18382,2026-06-24,22792,92588,16340,2,23476.0,94257.0,17361.0,2.0,23476.0,17361.0,2.0,S_10dbf8b240,Lスロット ソードアート・オンラインⅡ,大都技研,ソードアート・オンライン,,スマスロ,True,False,True,52.33,48.78,48.98,100.0,0.88,3.0,0,52.6,43.11,70.41,C,C,A,Lスロット ソードアート・オンラインⅡは最新稼働22792、直近4週平均稼働23476、稼働貢献週2週。現役人気指数52.6、長期名機指数43.1、ホール資産指数70.4。
Lスマスロ ミリオンゴッド-神々の軌跡-,S,2026-04-29,9,18444.777777777777,25831,13303,75354.44444444444,105058,18651.88888888889,31730,2026-06-24,13303,55564,12259,9,15372.5,63445.333333333336,13828.5,6.0,18444.777777777777,18651.88888888889,9.0,S_898752fa3b,Lスマスロ ミリオンゴッド-神々の軌跡-,ミズホ,ゴッド,,スマスロ,True,False,True,29.41,27.08,35.56,80.57,3.98,19.0,0,33.24,42.22,62.51,D,C,B,Lスマスロ ミリオンゴッド-神々の軌跡-は最新稼働13303、直近4週平均稼働15372、稼働貢献週9週。現役人気指数33.2、長期名機指数42.2、ホール資産指数62.5。
Re:ゼロから始める異世界生活 鬼がかりver.,S,2023-07-26,16,23516.25,26550,20820,49446.3125,55281,8570.375,10894,2023-11-08,23820,50350,9231,16,,,,,,,,S_485642e8a3,Re:ゼロから始める異世界生活 鬼がかりver.,大都技研,リゼロ,鬼がかり,スロット,False,False,False,54.82,,,,7.08,1.0,0,,38.53,,D,D,D,Re:ゼロから始める異世界生活 鬼がかりver.は最新稼働23820、直近4週平均稼働0、稼働貢献週16週。現役人気指数nan、長期名機指数38.5、ホール資産指数nan。
L戦国乙女5 業火を穿つ宿焔の双刃,S,2026-06-17,2,24078.0,24933,23223,77799.5,78850,10571.0,10602,2026-06-24,23223,76749,10540,2,24078.0,77799.5,10571.0,2.0,24078.0,10571.0,2.0,S_51e27eda14,L戦国乙女5 業火を穿つ宿焔の双刃,オリンピア,戦国乙女,,スマスロ,True,False,True,53.37,50.39,50.58,62.66,0.88,2.0,0,50.06,38.1,51.4,C,D,C,L戦国乙女5 業火を穿つ宿焔の双刃は最新稼働23223、直近4週平均稼働24078、稼働貢献週2週。現役人気指数50.1、長期名機指数38.1、ホール資産指数51.4。
SLOTギルティクラウン,S,2019-09-04,119,13681.302521008403,18969,7817,35947.20168067227,48286,5271.361344537815,10306,2022-02-09,18840,44951,5781,107,,,,,,,,S_08e205659f,SLOTギルティクラウン,エレコ,,,パチスロ,False,False,False,42.78,,,,47.35,4.0,0,,37.62,,D,D,D,SLOTギルティクラウンは最新稼働18840、直近4週平均稼働0、稼働貢献週107週。現役人気指数nan、長期名機指数37.6、ホール資産指数nan。
ゴーゴージャグラー3,S,2023-07-12,148,10972.601351351352,21613,9398,20222.432432432433,33774,2825.5810810810813,4797,2026-06-24,11045,20278,2524,127,10603.0,19449.0,2430.1666666666665,6.0,10926.153846153846,2592.230769230769,13.0,S_d538e468e0,ゴーゴージャグラー3,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,True,23.95,14.3,15.5,17.89,56.19,38.0,0,19.83,37.36,27.99,D,D,D,ゴーゴージャグラー3は最新稼働11045、直近4週平均稼働10603、稼働貢献週127週。現役人気指数19.8、長期名機指数37.4、ホール資産指数28.0。
キングハナハナ-30(2023年),S,2023-03-29,162,10939.5,18239,9370,17840.53086419753,27005,1925.0802469135801,5189,2026-06-24,10784,17227,1227,140,10483.833333333334,16691.833333333332,1137.1666666666667,6.0,10765.076923076924,1418.3076923076924,13.0,S_788d47b589,キングハナハナ-30(2023年),パイオニア,ハナハナ,,Aタイプ/ノーマル,False,False,True,23.32,13.98,15.07,10.78,61.95,43.0,0,19.02,36.9,25.66,D,D,D,キングハナハナ-30(2023年)は最新稼働10784、直近4週平均稼働10484、稼働貢献週140週。現役人気指数19.0、長期名機指数36.9、ホール資産指数25.7。
L 東京喰種,S,2025-02-12,68,15364.764705882353,23893,10404,58810.35294117647,87404,6477.867647058823,13480,2026-06-24,10590,40954,3206,68,10777.833333333334,40942.333333333336,2747.8333333333335,6.0,11724.923076923076,3463.6153846153848,13.0,S_1bc7ae6a97,L 東京喰種,スパイキー,東京喰種,,スマスロ,True,False,True,22.85,14.77,17.63,19.64,30.09,52.0,20,0.0,36.72,30.05,D,D,D,L 東京喰種は最新稼働10590、直近4週平均稼働10778、稼働貢献週68週。現役人気指数0.0、長期名機指数36.7、ホール資産指数30.1。
マイジャグラーⅣ,S,2019-09-04,117,13196.735042735043,15678,7830,27881.74358974359,32790,3774.358974358974,7699,2022-01-12,7830,17777,6359,113,,,,,,,,S_ebb11708ce,マイジャグラーⅣ,北電子,ジャグラー,,Aタイプ/ノーマル,False,False,False,16.18,,,,50.0,168.0,20,,35.43,,D,D,D,マイジャグラーⅣは最新稼働7830、直近4週平均稼働0、稼働貢献週113週。現役人気指数nan、長期名機指数35.4、ホール資産指数nan。
