machine_name,category,certification_date,certification_source,memo
CR 009 RE:CYBORG 99.9ver,P,,,
CR 009 RE:CYBORG S2R-K,P,,,
CR J-RUSH3 HSJ,P,,,
CR J-RUSH3 RSJ,P,,,
CR J-RUSH4 HSJ,P,,,
CR JAWS～it’s a SHARK PANIC～ 319ver.,P,,,
CR RAVE この世界こそが真実だ FPM,P,,,
CRA TOKIO PREMIUM V,P,,,
CRA大海物語3withアグネス・ラム SAP,P,,,
CRA暴れん坊将軍 怪談 FPW,P,,,
CRA海物語 3R,P,,,
CRA祭りだ!サブちゃん,P,,,
CRA花の慶次X～雲のかなたに～ N-K,P,,,
CRA遠山の金さん 二人の遠山桜 FPW,P,,,
CRA銀河鉄道999 99ver.,P,,,
CRぱちんこAKB48 バラの儀式 V9,P,,,
CRぱちんこコードギアス 反逆のルルーシュ Z4,P,,,
CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,P,,,
CRぱちんこ魔法少女まどか☆マギカ H2,P,,,
CRひぐらしのなく頃に～叫～ 319Ver.,P,,,
CRシュタインズ・ゲート 未来ガジェット319号機,P,,,
CRスーパー海物語 IN JAPAN 319バージョン,P,,,
CRスーパー海物語 IN JAPAN 金富士 新MAX319バージョン,P,,,
CRスーパー海物語IN沖縄3 桜ライト,P,,,
CRスーパー海物語IN沖縄4 MTC,P,,,
CRスーパー海物語IN沖縄4桜バージョン ライト199ver.,P,,,
CRスーパー海物語IN沖縄4桜バージョン 新マックス319ver.,P,,,
CRダイナマイトキングin沖縄 爆はいさいVer.,P,,,
CRトキオスペシャル V1,P,,,
CRビッグドリーム～神撃 259Ver.,P,,,
CRフィーバークィーンⅡ DX,P,,,
CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,P,,,
CRフィーバー戦姫絶唱シンフォギア,P,,,
CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,P,,,
CRマッハGoGoGo GP7000 XVTS,P,,,
CRリング 運命の日 FPSZ,P,,,
CRリング 運命の日 FPWZ,P,,,
CRルパン三世～消されたルパン～ 299Ver.,P,,,
CR大海物語4 MTB,P,,,
CR大海物語4 with アグネス・ラム SBC,P,,,
CR大海物語BLACK ライト,P,,,
CR大海物語スペシャル MTE15,P,,,
CR戦国乙女5～10th Anniversary～ H1BZ1,P,,,
CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,P,,,
CR百花繚乱 サムライブライド M5BZ2,P,,,
CR真・花の慶次 L6-K,P,,,
CR真・花の慶次2～漆黒の衝撃 2400,P,,,
CR緋弾のアリアⅡ FPM,P,,,
CR聖闘士星矢-BEYOND THE LIMIT- MLA,P,,,
CR花の慶次X～雲のかなたに～ H2-K,P,,,
CR餃子の王将3 メガ盛7000,P,,,
CR餃子の王将3 大盛5000,P,,,
CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,P,,,
CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,P,,,
CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,P,,,
CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,P,,,
