raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
CR 009 RE:CYBORG 99.9ver,P_a615bc7f7e,CR 009 RE:CYBORG 99.9ver,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
CR 009 RE:CYBORG S2R-K,P_31e92c6f34,CR 009 RE:CYBORG S2R-K,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR J-RUSH3 HSJ,P_e44d9578c4,CR J-RUSH3 HSJ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR J-RUSH3 RSJ,P_bcad688722,CR J-RUSH3 RSJ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR J-RUSH4 HSJ,P_1fbd2184ef,CR J-RUSH4 HSJ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR JAWS～it’s a SHARK PANIC～ 319ver.,P_bee9a70964,CR JAWS～it’s a SHARK PANIC～ 319ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
CR RAVE この世界こそが真実だ FPM,P_9724976a37,CR RAVE この世界こそが真実だ FPM,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRA TOKIO PREMIUM V,P_ebd2c93ffe,CRA TOKIO PREMIUM V,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRA暴れん坊将軍 怪談 FPW,P_a16438daf7,CRA暴れん坊将軍 怪談 FPW,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRA祭りだ!サブちゃん,P_a5d9c0a3b0,CRA祭りだ!サブちゃん,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRA遠山の金さん 二人の遠山桜 FPW,P_ffbf9d6fc4,CRA遠山の金さん 二人の遠山桜 FPW,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRA銀河鉄道999 99ver.,P_959801c60e,CRA銀河鉄道999 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
CREA Newクレアの秘宝伝,P_31bd0feec0,CREA Newクレアの秘宝伝,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRぱちんこAKB48 バラの儀式 V9,P_1215c1e0b5,CRぱちんこAKB48 バラの儀式 V9,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRぱちんこコードギアス 反逆のルルーシュ Z4,P_fb7ec868c2,CRぱちんこコードギアス 反逆のルルーシュ Z4,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,P_2929236b82,CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRひぐらしのなく頃に～叫～ 319Ver.,P_33e9d3e3b1,CRひぐらしのなく頃に～叫～ 319Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRシュタインズ・ゲート 未来ガジェット319号機,P_d979bc8fa2,CRシュタインズ・ゲート 未来ガジェット319号機,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRダイナマイトキングin沖縄 爆はいさいVer.,P_dfd5c2dde0,CRダイナマイトキングin沖縄 爆はいさいVer.,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRトキオスペシャル V1,P_401f18c278,CRトキオスペシャル V1,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRビッグドリーム～神撃 259Ver.,P_b7f763d67f,CRビッグドリーム～神撃 259Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRフィーバークィーンⅡ DX,P_4591c8a4d0,CRフィーバークィーンⅡ DX,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,P_e4b2082ed1,CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRフィーバー戦姫絶唱シンフォギア,P_6bd273c177,CRフィーバー戦姫絶唱シンフォギア,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,P_a272684080,CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRマッハGoGoGo GP7000 XVTS,P_fd509b315e,CRマッハGoGoGo GP7000 XVTS,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRリング 運命の日 FPSZ,P_27afde072c,CRリング 運命の日 FPSZ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CRリング 運命の日 FPWZ,P_2da5f54152,CRリング 運命の日 FPWZ,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,P_08c82e0fec,CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR百花繚乱 サムライブライド M5BZ2,P_7a4d37a8c0,CR百花繚乱 サムライブライド M5BZ2,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR緋弾のアリアⅡ FPM,P_5fc486a699,CR緋弾のアリアⅡ FPM,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR聖闘士星矢-BEYOND THE LIMIT- MLA,P_419dd7e3f1,CR聖闘士星矢-BEYOND THE LIMIT- MLA,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR餃子の王将3 メガ盛7000,P_b2a414d9fb,CR餃子の王将3 メガ盛7000,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR餃子の王将3 大盛5000,P_9713cb9ee7,CR餃子の王将3 大盛5000,P,,,パチンコ,series_name未分類のため確認推奨,pending
CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,P_5152d58305,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,P_3670d29d7f,CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,P_a1f7731212,CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
