machine_id,machine_name,category,report_date,maker_name,series_name,machine_type,is_smart,is_lt,latest_operation,avg_operation_4w,avg_operation_12w,avg_operation_all,max_operation,min_operation,operation_contribution_weeks,latest_sales,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_gross_profit,avg_gross_profit_4w,avg_gross_profit_12w,avg_gross_profit_all,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,market_score,asset_score,recommendation_score,overall_score,overall_grade,score_reason,ai_comment
P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,P,2026-06-24,ビスティ,東京喰種,スマパチ,True,False,41270,42600.0,42600.0,42600.0,43930,41270,2,91375,93030.0,93030.0,93030.0,13047,12211.5,12211.5,12211.5,84.42,87.42,79.11,50.44,0,76.28,76.68,76.83,A,"直近4週稼働=42600, 最新稼働=41270, 平均粗利4週=12212, 稼働貢献週=2",e 東京喰種 超デカ 超一撃 ver.は直近4週平均稼働42600、最新稼働41270。人気指数87.4、粗利指数79.1、寿命指数50.4。
P_4604205b4a,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,P,2026-06-24,大都技研,ソードアート・オンライン,スマパチ,True,False,23470,26810.0,26810.0,26810.0,30150,23470,2,59220,66822.5,66822.5,66822.5,9334,10084.0,10084.0,10084.0,58.96,50.11,59.38,29.34,0,50.13,45.96,48.28,C,"直近4週稼働=26810, 最新稼働=23470, 平均粗利4週=10084, 稼働貢献週=2",eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08は直近4週平均稼働26810、最新稼働23470。人気指数50.1、粗利指数59.4、寿命指数29.3。
P_dc3a0db759,eリコリス・リコイル M3,P,2026-06-24,ニューギン,,スマパチ,True,False,22580,25790.0,31422.727272727272,31422.727272727272,43280,22580,11,52532,59708.0,71715.18181818182,71715.18181818182,7790,8470.166666666666,10762.272727272728,10762.272727272728,52.85,47.88,52.13,34.48,0,47.11,44.97,46.19,C,"直近4週稼働=25790, 最新稼働=22580, 平均粗利4週=8470, 稼働貢献週=11",eリコリス・リコイル M3は直近4週平均稼働25790、最新稼働22580。人気指数47.9、粗利指数52.1、寿命指数34.5。
P_157d26301d,eひきこまり吸血姫の悶々 FHV,P,2026-06-24,藤商事,,スマパチ,True,False,18550,25523.333333333332,25523.333333333332,25523.333333333332,32390,18550,6,42335,57044.0,57044.0,57044.0,7553,8774.666666666666,8774.666666666666,8774.666666666666,53.45,43.83,53.17,28.51,0,44.97,41.11,43.22,C,"直近4週稼働=25523, 最新稼働=18550, 平均粗利4週=8775, 稼働貢献週=6",eひきこまり吸血姫の悶々 FHVは直近4週平均稼働25523、最新稼働18550。人気指数43.8、粗利指数53.2、寿命指数28.5。
P_1f02c418ae,eフィーバー デッドマウント・デスプレイ 魂神9000,P,2026-06-24,SANKYO,,スマパチ,True,False,18650,20905.0,20905.0,20905.0,23160,18650,2,45052,50043.5,50043.5,50043.5,8768,8846.0,8846.0,8846.0,48.09,37.65,50.21,21.45,0,40.06,35.13,37.79,D,"直近4週稼働=20905, 最新稼働=18650, 平均粗利4週=8846, 稼働貢献週=2",eフィーバー デッドマウント・デスプレイ 魂神9000は直近4週平均稼働20905、最新稼働18650。人気指数37.6、粗利指数50.2、寿命指数21.4。
P_56b075b770,P 魔法少女まどか☆マギカ3 キュゥべえver.,P,2026-06-24,京楽産業．,まどか☆マギカ,パチンコ,False,False,20180,22330.0,22330.0,22330.0,24480,20180,2,39609,43189.5,43189.5,43189.5,6332,6764.0,6764.0,6764.0,43.52,40.26,42.77,23.36,0,38.01,36.2,37.28,D,"直近4週稼働=22330, 最新稼働=20180, 平均粗利4週=6764, 稼働貢献週=2",P 魔法少女まどか☆マギカ3 キュゥべえver.は直近4週平均稼働22330、最新稼働20180。人気指数40.3、粗利指数42.8、寿命指数23.4。
P_073de2d019,遊moreLT PエガブレイブVVV AX4,P,2026-06-24,豊丸,,LT,False,True,15340,18550.0,18550.0,18550.0,21760,15340,2,20002,24095.5,24095.5,24095.5,8754,10986.5,10986.5,10986.5,51.74,32.25,57.24,18.31,0,40.71,32.0,36.56,D,"直近4週稼働=18550, 最新稼働=15340, 平均粗利4週=10986, 稼働貢献週=2",遊moreLT PエガブレイブVVV AX4は直近4週平均稼働18550、最新稼働15340。人気指数32.2、粗利指数57.2、寿命指数18.3。
P_09426a8154,e 東京喰種 W,P,2026-06-24,ビスティ,東京喰種,スマパチ,True,False,20450,20300.0,20781.53846153846,25497.543859649122,43260,18980,57,45839,45275.333333333336,46283.38461538462,56059.59649122807,4408,4356.5,4978.384615384615,7051.333333333333,33.79,39.51,31.58,33.2,0,34.68,36.8,35.78,D,"直近4週稼働=20300, 最新稼働=20450, 平均粗利4週=4356, 稼働貢献週=57",e 東京喰種 Wは直近4週平均稼働20300、最新稼働20450。人気指数39.5、粗利指数31.6、寿命指数33.2。
P_0264d647ff,P大海物語5 MTE2,P,2026-06-24,三洋,海物語,パチンコ,False,False,17570,16328.333333333334,16949.23076923077,20555.714285714286,36320,14990,168,28572,26486.0,27507.53846153846,33220.982142857145,2203,1941.0,2202.0,2595.095238095238,21.7,35.89,18.99,52.57,0,31.62,37.94,34.57,D,"直近4週稼働=16328, 最新稼働=17570, 平均粗利4週=1941, 稼働貢献週=168",P大海物語5 MTE2は直近4週平均稼働16328、最新稼働17570。人気指数35.9、粗利指数19.0、寿命指数52.6。
P_c67908752a,P大海物語5スペシャル ALTA,P,2026-06-24,三洋,海物語,LT,False,True,20970,19633.333333333332,20815.384615384617,21859.0,31690,18410,80,32782,30625.0,32510.76923076923,33970.2875,2971,2542.8333333333335,2989.923076923077,3172.4625,27.5,39.56,23.75,37.96,0,32.13,37.01,34.54,D,"直近4週稼働=19633, 最新稼働=20970, 平均粗利4週=2543, 稼働貢献週=80",P大海物語5スペシャル ALTAは直近4週平均稼働19633、最新稼働20970。人気指数39.6、粗利指数23.8、寿命指数38.0。
