machine_id,machine_name,category,report_date,maker_name,series_name,machine_type,is_smart,is_lt,latest_operation,avg_operation_4w,avg_operation_12w,avg_operation_all,max_operation,min_operation,operation_contribution_weeks,latest_sales,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_gross_profit,avg_gross_profit_4w,avg_gross_profit_12w,avg_gross_profit_all,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,market_score,asset_score,recommendation_score,overall_score,overall_grade,score_reason,ai_comment,current_operation_score,latest_operation_score,trend_score,profit_power_score,profit_stability_score,lifecycle_power_score,market_power_score,sns_power_score,active_popularity_score_v2,profit_score_v2,lifecycle_score_v2,asset_score_v2,overall_score_v2,overall_grade_v2,active_rank,profit_rank,lifecycle_rank,overall_rank,score_reason_v2,ai_comment_v2
S_10dbf8b240,Lスロット ソードアート・オンラインⅡ,S,2026-06-24,大都技研,ソードアート・オンライン,スマスロ,True,False,22792,23476.0,23476.0,23476.0,24160,22792,2,92588,94257.0,94257.0,94257.0,16340,17361.0,17361.0,17361.0,76.95,47.29,86.55,24.89,0,60.48,46.77,53.94,C,"直近4週稼働=23476, 最新稼働=22792, 平均粗利4週=17361, 稼働貢献週=2",Lスロット ソードアート・オンラインⅡは直近4週平均稼働23476、最新稼働22792。人気指数47.3、粗利指数86.5、寿命指数24.9。,55.11,50.17,98.54,100.0,93.33,0.88,50,50,59.38,79.78,38.88,61.48,60.7,B,2,1,14,1,直近4週稼働スコア55.1 / 最新稼働スコア50.2 / トレンドスコア98.5 / 粗利スコア100.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,Lスロット ソードアート・オンラインⅡは、現役人気指数59.4、粗利指数79.8、寿命指数38.9、総合評価60.7（B）。主な根拠は、直近4週稼働スコア55.1 / 最新稼働スコア50.2 / トレンドスコア98.5 / 粗利スコア100.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_51e27eda14,L戦国乙女5 業火を穿つ宿焔の双刃,S,2026-06-24,オリンピア,戦国乙女,スマスロ,True,False,23223,24078.0,24078.0,24078.0,24933,23223,2,76749,77799.5,77799.5,77799.5,10540,10571.0,10571.0,10571.0,57.14,46.42,59.44,25.69,0,48.13,42.79,45.7,C,"直近4週稼働=24078, 最新稼働=23223, 平均粗利4週=10571, 稼働貢献週=2",L戦国乙女5 業火を穿つ宿焔の双刃は直近4週平均稼働24078、最新稼働23223。人気指数46.4、粗利指数59.4、寿命指数25.7。,56.52,51.26,98.22,62.66,58.27,0.88,50,50,60.22,54.38,39.17,52.94,53.46,C,1,3,13,2,直近4週稼働スコア56.5 / 最新稼働スコア51.3 / トレンドスコア98.2 / 粗利スコア62.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,L戦国乙女5 業火を穿つ宿焔の双刃は、現役人気指数60.2、粗利指数54.4、寿命指数39.2、総合評価53.5（C）。主な根拠は、直近4週稼働スコア56.5 / 最新稼働スコア51.3 / トレンドスコア98.2 / 粗利スコア62.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_898752fa3b,Lスマスロ ミリオンゴッド-神々の軌跡-,S,2026-06-24,ミズホ,ゴッド,スマスロ,True,False,13303,15372.5,18444.777777777777,18444.777777777777,25831,13303,9,55564,63445.333333333336,75354.44444444444,75354.44444444444,12259,13828.5,18651.88888888889,18651.88888888889,56.5,27.4,66.53,18.07,0,43.14,30.26,36.89,D,"直近4週稼働=15372, 最新稼働=13303, 平均粗利4週=13828, 稼働貢献週=9",Lスマスロ ミリオンゴッド-神々の軌跡-は直近4週平均稼働15372、最新稼働13303。人気指数27.4、粗利指数66.5、寿命指数18.1。,36.09,26.2,84.94,80.57,100.0,3.98,50,50,42.54,67.9,32.8,50.21,48.08,C,4,2,37,3,直近4週稼働スコア36.1 / 最新稼働スコア26.2 / トレンドスコア84.9 / 粗利スコア80.6 / 稼働貢献スコア4.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,Lスマスロ ミリオンゴッド-神々の軌跡-は、現役人気指数42.5、粗利指数67.9、寿命指数32.8、総合評価48.1（C）。主な根拠は、直近4週稼働スコア36.1 / 最新稼働スコア26.2 / トレンドスコア84.9 / 粗利スコア80.6 / 稼働貢献スコア4.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_c20b177fd4,マイジャグラーⅤ,S,2026-06-24,北電子,ジャグラー,Aタイプ/ノーマル,False,False,13892,13507.5,13744.53846153846,13528.398230088496,16697,11735,226,24246,23428.166666666668,23848.69230769231,23759.58407079646,2714,2455.333333333333,2784.3076923076924,3113.20796460177,19.85,31.61,19.09,61.32,0,31.92,37.65,34.45,D,"直近4週稼働=13508, 最新稼働=13892, 平均粗利4週=2455, 稼働貢献週=226",マイジャグラーⅤは直近4週平均稼働13508、最新稼働13892。人気指数31.6、粗利指数19.1、寿命指数61.3。,31.71,27.69,100.56,18.03,18.07,100.0,50,50,43.58,28.97,78.04,46.0,47.18,C,3,12,1,4,直近4週稼働スコア31.7 / 最新稼働スコア27.7 / トレンドスコア100.6 / 粗利スコア18.0 / 稼働貢献スコア100.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,マイジャグラーⅤは、現役人気指数43.6、粗利指数29.0、寿命指数78.0、総合評価47.2（C）。主な根拠は、直近4週稼働スコア31.7 / 最新稼働スコア27.7 / トレンドスコア100.6 / 粗利スコア18.0 / 稼働貢献スコア100.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_43d2165990,L真打 吉宗,S,2026-06-24,大都技研,吉宗,スマスロ,True,False,12161,13178.833333333334,15577.363636363636,15577.363636363636,21102,12161,11,50756,54754.0,64265.36363636364,64265.36363636364,8269,8996.0,11425.0,11425.0,39.24,22.11,45.39,15.05,0,31.17,23.42,27.42,D,"直近4週稼働=13179, 最新稼働=12161, 平均粗利4週=8996, 稼働貢献週=11",L真打 吉宗は直近4週平均稼働13179、最新稼働12161。人気指数22.1、粗利指数45.4、寿命指数15.1。,30.94,23.32,88.44,54.0,62.68,4.87,50,50,40.14,46.21,32.61,41.74,40.39,C,8,5,41,5,直近4週稼働スコア30.9 / 最新稼働スコア23.3 / トレンドスコア88.4 / 粗利スコア54.0 / 稼働貢献スコア4.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,L真打 吉宗は、現役人気指数40.1、粗利指数46.2、寿命指数32.6、総合評価40.4（C）。主な根拠は、直近4週稼働スコア30.9 / 最新稼働スコア23.3 / トレンドスコア88.4 / 粗利スコア54.0 / 稼働貢献スコア4.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_261aa58496,沖ドキ!ゴージャス-30,S,2026-06-24,エレコ,沖ドキ,沖スロ,False,False,11090,10689.333333333334,11101.615384615385,11811.184210526317,16053,10365,76,41477,40016.16666666666,41676.53846153846,44392.31578947369,5625,5468.333333333333,6079.846153846154,6488.289473684211,25.57,19.67,29.33,24.51,0,24.98,22.23,23.58,D,"直近4週稼働=10689, 最新稼働=11090, 平均粗利4週=5468, 稼働貢献週=76",沖ドキ!ゴージャス-30は直近4週平均稼働10689、最新稼働11090。人気指数19.7、粗利指数29.3、寿命指数24.5。,25.09,20.61,100.02,34.6,35.08,33.63,50,50,38.72,32.7,46.41,39.28,38.84,D,9,11,6,6,直近4週稼働スコア25.1 / 最新稼働スコア20.6 / トレンドスコア100.0 / 粗利スコア34.6 / 稼働貢献スコア33.6 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,沖ドキ!ゴージャス-30は、現役人気指数38.7、粗利指数32.7、寿命指数46.4、総合評価38.8（D）。主な根拠は、直近4週稼働スコア25.1 / 最新稼働スコア20.6 / トレンドスコア100.0 / 粗利スコア34.6 / 稼働貢献スコア33.6 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_d538e468e0,ゴーゴージャグラー3,S,2026-06-24,北電子,ジャグラー,Aタイプ/ノーマル,False,False,11045,10603.0,10926.153846153846,10972.601351351352,21613,9398,127,20278,19449.0,19946.92307692308,20222.432432432437,2524,2430.1666666666665,2592.230769230769,2825.5810810810813,16.27,20.86,16.95,35.6,0,22.05,24.17,22.95,D,"直近4週稼働=10603, 最新稼働=11045, 平均粗利4週=2430, 稼働貢献週=127",ゴーゴージャグラー3は直近4週平均稼働10603、最新稼働11045。人気指数20.9、粗利指数16.9、寿命指数35.6。,24.89,20.5,100.61,17.89,17.07,56.19,50,50,38.7,22.96,56.63,37.91,38.23,D,10,20,3,7,直近4週稼働スコア24.9 / 最新稼働スコア20.5 / トレンドスコア100.6 / 粗利スコア17.9 / 稼働貢献スコア56.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,ゴーゴージャグラー3は、現役人気指数38.7、粗利指数23.0、寿命指数56.6、総合評価38.2（D）。主な根拠は、直近4週稼働スコア24.9 / 最新稼働スコア20.5 / トレンドスコア100.6 / 粗利スコア17.9 / 稼働貢献スコア56.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_788d47b589,キングハナハナ-30(2023年),S,2026-06-24,パイオニア,ハナハナ,Aタイプ/ノーマル,False,False,10784,10483.833333333334,10765.076923076924,10939.5,18239,9370,140,17227,16691.833333333332,17165.615384615383,17840.53086419753,1227,1137.1666666666667,1418.3076923076924,1925.08024691358,12.22,20.65,11.62,38.29,0,20.11,24.02,21.87,D,"直近4週稼働=10484, 最新稼働=10784, 平均粗利4週=1137, 稼働貢献週=140",キングハナハナ-30(2023年)は直近4週平均稼働10484、最新稼働10784。人気指数20.6、粗利指数11.6、寿命指数38.3。,24.61,19.84,100.13,10.78,11.01,61.95,50,50,38.32,18.71,59.06,36.77,37.33,D,12,35,2,8,直近4週稼働スコア24.6 / 最新稼働スコア19.8 / トレンドスコア100.1 / 粗利スコア10.8 / 稼働貢献スコア62.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,キングハナハナ-30(2023年)は、現役人気指数38.3、粗利指数18.7、寿命指数59.1、総合評価37.3（D）。主な根拠は、直近4週稼働スコア24.6 / 最新稼働スコア19.8 / トレンドスコア100.1 / 粗利スコア10.8 / 稼働貢献スコア62.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_d8d534f374,Lスマスロ ビッグドリーム THE GOLDEN PUSHER,S,2026-06-24,サミー,,スマスロ,True,False,6330,11269.833333333334,11269.833333333334,11269.833333333334,17776,6330,4,35464,61924.5,61924.5,61924.5,6955,11074.666666666666,11074.666666666666,11074.666666666666,43.23,14.75,52.48,9.03,0,30.58,18.36,24.62,D,"直近4週稼働=11270, 最新稼働=6330, 平均粗利4週=11075, 稼働貢献週=4",Lスマスロ ビッグドリーム THE GOLDEN PUSHERは直近4週平均稼働11270、最新稼働6330。人気指数14.8、粗利指数52.5、寿命指数9.0。,26.46,8.59,78.08,65.43,60.87,1.77,50,50,32.37,50.36,28.03,39.56,37.08,D,43,4,69,9,直近4週稼働スコア26.5 / 最新稼働スコア8.6 / トレンドスコア78.1 / 粗利スコア65.4 / 稼働貢献スコア1.8 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,Lスマスロ ビッグドリーム THE GOLDEN PUSHERは、現役人気指数32.4、粗利指数50.4、寿命指数28.0、総合評価37.1（D）。主な根拠は、直近4週稼働スコア26.5 / 最新稼働スコア8.6 / トレンドスコア78.1 / 粗利スコア65.4 / 稼働貢献スコア1.8 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_66221f3729,Lスマスロ スーパーリオエース2,S,2026-06-24,山佐ネクスト,,スマスロ,True,False,8993,13987.666666666666,13987.666666666666,13987.666666666666,20080,8993,5,32052,49382.66666666666,49382.66666666666,49382.66666666666,4673,8152.5,8152.5,8152.5,37.66,19.86,42.54,12.88,0,28.67,21.11,25.02,D,"直近4週稼働=13988, 最新稼働=8993, 平均粗利4週=8152, 稼働貢献週=5",Lスマスロ スーパーリオエース2は直近4週平均稼働13988、最新稼働8993。人気指数19.9、粗利指数42.5、寿命指数12.9。,32.83,15.31,82.15,49.36,45.79,2.21,50,50,37.55,40.62,30.63,38.49,37.07,D,14,6,54,10,直近4週稼働スコア32.8 / 最新稼働スコア15.3 / トレンドスコア82.2 / 粗利スコア49.4 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,Lスマスロ スーパーリオエース2は、現役人気指数37.5、粗利指数40.6、寿命指数30.6、総合評価37.1（D）。主な根拠は、直近4週稼働スコア32.8 / 最新稼働スコア15.3 / トレンドスコア82.2 / 粗利スコア49.4 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
