machine_name,category,maker_name,first_report_date,latest_report_date,data_count,avg_operation,avg_sales,avg_gross_profit
P NEW TOKIO ハカマタイプ,P,アムテックス,2021-07-07,2026-06-24,184,15608.315217391304,9867.391304347826,1219.429347826087
Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,P,三洋,2023-01-18,2026-06-24,171,13029.064327485381,18807.02923976608,3329.409356725146
P大海物語5 MTE2,P,三洋,2023-02-15,2026-06-24,168,20555.714285714286,33220.982142857145,2595.095238095238
P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,P,ニューギン,2023-03-29,2026-06-24,162,11123.95061728395,17368.29012345679,4206.549382716049
PA大海物語5 Withアグネス・ラム ARBC,P,三洋,2023-07-12,2026-06-24,148,13382.702702702703,15760.128378378378,2241.587837837838
P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,P,ビスティ,2023-02-15,2026-06-24,137,10008.029197080292,18546.14598540146,3279.3138686131388
Pポチッと一発!おだてブタ2 V1,P,アムテックス,2024-01-17,2026-06-24,122,19606.72131147541,11798.524590163934,1552.532786885246
P大海物語5 ブラック HCL,P,三洋,2023-12-13,2026-06-24,116,11636.98275862069,19936.258620689656,3285.655172413793
P弾球黙示録カイジ沼5 ざわっ・・・79Ver.,P,高尾(オーイズミ),2024-10-30,2026-06-24,82,11540.487804878048,16340.243902439024,3796.609756097561
P大海物語5スペシャル ALTA,P,三洋,2024-11-13,2026-06-24,80,21859.0,33970.2875,3172.4625
P大海物語4スペシャル BLACK SCA,P,三洋,2024-10-02,2026-06-24,78,11005.641025641025,16107.333333333334,2296.897435897436
PAわんわんパラダイスCELEBRATION AGBD,P,サンスリー,2024-10-16,2026-06-24,75,11088.933333333332,17087.213333333333,2531.173333333333
e大海物語5スペシャル ELTA4,P,三洋,2024-11-13,2026-06-24,72,14071.111111111111,24763.333333333332,2248.4305555555557
PA大海物語5 ブラック LT99ver.,P,三洋,2025-03-12,2026-06-24,64,14480.15625,22445.8125,3852.8125
Pハネモノ ファミリースタジアム MD,P,ミズホ,2025-01-29,2026-06-24,57,16584.912280701756,11654.684210526315,2481.0877192982457
e 東京喰種 W,P,ビスティ,2025-04-30,2026-06-24,57,25497.543859649122,56059.59649122807,7051.333333333333
デジハネP北斗の拳 慈母 SSPC,P,サミー,2025-05-14,2026-06-24,52,10607.115384615385,15291.057692307691,4073.576923076923
e牙狼12黄金騎士極限 XX-MJ,P,サンセイR&D,2025-08-13,2026-06-24,43,21201.86046511628,49606.53488372093,6562.069767441861
e真・一騎当千～軍神覚醒～ 319大入りver.,P,ディ・ライト,2025-08-13,2026-06-24,43,13922.093023255815,31847.116279069767,6439.488372093023
e ソードアート・オンライン 閃光の軌跡 K7,P,京楽産業．,2024-12-25,2026-06-24,39,13338.205128205129,29311.46153846154,4933.974358974359
Pスーパー海物語IN沖縄6 LTP,P,三洋,2025-10-16,2026-06-24,34,14109.411764705883,22501.970588235294,2423.235294117647
デカスタP STEINS；GATE 0 まゆしぃば～じょん,P,ニューギン,2025-10-29,2026-06-24,31,12020.645161290322,17631.16129032258,3813.1612903225805
e 北斗の拳11 暴凶星 SHEF,P,サミー,2025-12-10,2026-06-24,28,16771.071428571428,39239.25,6698.428571428572
e 新世紀エヴァンゲリオン ～はじまりの記憶～ R,P,ビスティ,2025-12-31,2026-06-24,26,21216.153846153848,49770.5,6039.653846153846
e女神のカフェテラス JLZ,P,JFJ,2025-08-27,2026-06-24,25,20330.0,48501.28,7922.16
P閃乱カグラ 189大入りver.,P,ディ・ライト,2026-01-28,2026-06-24,21,12650.0,25680.666666666668,5278.476190476191
P Re:ゼロから始める異世界生活 season2 129ver.,P,大都技研,2026-03-11,2026-06-24,16,14805.625,32920.0625,6032.4375
P戦国乙女7 終焉の関ケ原 99ver.,P,アムテックス,2026-03-11,2026-06-24,16,11763.125,21078.4375,4017.0
e ソードアート・オンライン 閃光の軌跡 99Ver.,P,京楽産業．,2026-01-14,2026-06-24,15,12774.0,25314.066666666666,3778.5333333333333
eリコリス・リコイル M3,P,ニューギン,2026-04-15,2026-06-24,11,31422.727272727272,71715.18181818182,10762.272727272728
e転生したらスライムだった件2 MF,P,サンセイR&D,2026-04-15,2026-06-24,11,18805.454545454544,43656.454545454544,7342.909090909091
e86-エイティシックス- MAM2,P,アムテックス,2026-04-29,2026-06-24,9,20324.444444444445,48511.77777777778,10075.777777777777
eフィーバーキン肉マン,P,SANKYO,2026-04-29,2026-06-24,9,23655.555555555555,55081.88888888889,9868.444444444445
eリング 最恐領域 RHA,P,オレンジ,2026-04-29,2026-06-24,9,18321.11111111111,44112.0,8187.555555555556
PフィーバークィーンⅡ YS,P,SANKYO,2026-05-20,2026-06-24,6,15060.0,17823.5,2684.0
e バイオハザード6 APN,P,七匠,2026-05-20,2026-06-24,6,19240.0,46607.833333333336,8745.833333333334
eひきこまり吸血姫の悶々 FHV,P,藤商事,2026-05-20,2026-06-24,6,25523.333333333332,57044.0,8774.666666666666
eカケグルイ 7500ver,P,ディ・ライト,2026-05-20,2026-06-24,6,19876.666666666668,49551.0,7932.166666666667
デカスタP戦国無双 100ver.,P,ニューギン,2026-05-20,2026-06-24,6,13656.666666666666,24083.833333333332,4745.0
P 犬夜叉3.0 大入り 甘SPEC,P,ディ・ライト,2026-06-03,2026-06-24,4,18277.5,35646.25,7081.5
P 魔法少女まどか☆マギカ3 キュゥべえver.,P,京楽産業．,2026-06-17,2026-06-24,2,22330.0,43189.5,6764.0
PAスーパー海物語IN沖縄6 Withえなこ RBD,P,三洋,2026-06-17,2026-06-24,2,20390.0,24952.0,4094.0
PA花の慶次～傾奇一転 87ver.,P,ニューギン,2026-06-17,2026-06-24,2,18475.0,27197.5,5920.5
e 化物語 鬼99ver.,P,サミー,2026-06-17,2026-06-24,2,18115.0,41532.0,8326.5
