machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
645,A-SLOTツインエンジェルBREAK,2022-02-24,2022-04-20,9,A-SLOTツインエンジェルBREAK,,1.0,ほぼ一致,,
768,BIG島唄-30,2022-10-12,2022-12-07,9,BIG島唄-30,,1.0,ほぼ一致,,
634,BLACK LAGOON ZERO bullet MAX,2022-02-16,2022-04-13,9,BLACK LAGOON ZERO bullet MAX,,1.0,ほぼ一致,,
1,BLACK LAGOON2,2019-09-04,2021-01-20,66,BLACK LAGOON2,,1.0,ほぼ一致,,
319,BLACK LAGOON4,2020-07-15,2020-09-23,11,BLACK LAGOON4,,1.0,ほぼ一致,,
575,CCエンジェル(2021年),2021-11-17,2021-11-17,1,CCエンジェル(2021年),,1.0,ほぼ一致,,
119,CR 009 RE:CYBORG 99.9ver,2019-09-25,2021-12-29,41,CR 009 RE:CYBORG 99.9ver,,1.0,ほぼ一致,,
2,CR 009 RE:CYBORG S2R-K,2019-09-04,2021-01-20,67,CR 009 RE:CYBORG S2R-K,,1.0,ほぼ一致,,
3,CR J-RUSH3 HSJ,2019-09-04,2021-11-17,108,CR J-RUSH3 HSJ,,1.0,ほぼ一致,,
116,CR J-RUSH3 RSJ,2019-09-18,2020-09-16,21,CR J-RUSH3 RSJ,,1.0,ほぼ一致,,
199,CR J-RUSH4 HSJ,2020-01-08,2020-01-08,1,CR J-RUSH4 HSJ,,1.0,ほぼ一致,,
325,CR JAWS～it’s a SHARK PANIC～ 319ver.,2020-07-29,2020-09-02,4,CR JAWS～it’s a SHARK PANIC～ 319ver.,,1.0,ほぼ一致,,
4,CR RAVE この世界こそが真実だ FPM,2019-09-04,2022-01-26,118,CR RAVE この世界こそが真実だ FPM,,1.0,ほぼ一致,,
270,CRA TOKIO PREMIUM V,2020-04-15,2020-07-09,7,CRA TOKIO PREMIUM V,,1.0,ほぼ一致,,
5,CRA大海物語3withアグネス・ラム SAP,2019-09-04,2022-02-09,121,CRA大海物語3withアグネス・ラム SAP,,1.0,ほぼ一致,,
6,CRA暴れん坊将軍 怪談 FPW,2019-09-04,2020-10-14,26,CRA暴れん坊将軍 怪談 FPW,,1.0,ほぼ一致,,
120,CRA海物語 3R,2019-09-25,2019-09-25,1,CRA海物語 3R,,1.0,ほぼ一致,,
7,CRA祭りだ!サブちゃん,2019-09-04,2021-04-07,75,CRA祭りだ!サブちゃん,,1.0,ほぼ一致,,
277,CRA花の慶次X～雲のかなたに～ N-K,2020-04-30,2020-04-30,1,CRA花の慶次X～雲のかなたに～ N-K,,1.0,ほぼ一致,,
8,CRA遠山の金さん 二人の遠山桜 FPW,2019-09-04,2019-11-27,12,CRA遠山の金さん 二人の遠山桜 FPW,,1.0,ほぼ一致,,
233,CRA銀河鉄道999 99ver.,2020-02-19,2021-02-24,29,CRA銀河鉄道999 99ver.,,1.0,ほぼ一致,,
750,CREA Newクレアの秘宝伝,2022-09-14,2022-10-05,4,CREA Newクレアの秘宝伝,,1.0,ほぼ一致,,
133,CRぱちんこAKB48 バラの儀式 V9,2019-10-16,2021-01-20,40,CRぱちんこAKB48 バラの儀式 V9,,1.0,ほぼ一致,,
