machine_id,machine_name,category,maker_name,series_name,market_date,used_price,used_price_change_rate,installed_halls,installed_units,installed_units_change_rate,market_memo
P_a615bc7f7e,CR 009 RE:CYBORG 99.9ver,P,ニューギン,,,,,,,,
P_31e92c6f34,CR 009 RE:CYBORG S2R-K,P,ニューギン,,,,,,,,
P_e44d9578c4,CR J-RUSH3 HSJ,P,ジェイビー,,,,,,,,
P_bcad688722,CR J-RUSH3 RSJ,P,ジェイビー,,,,,,,,
P_1fbd2184ef,CR J-RUSH4 HSJ,P,ジェイビー,,,,,,,,
P_bee9a70964,CR JAWS～it’s a SHARK PANIC～ 319ver.,P,平和,,,,,,,,
P_9724976a37,CR RAVE この世界こそが真実だ FPM,P,藤商事,,,,,,,,
P_ebd2c93ffe,CRA TOKIO PREMIUM V,P,アムテックス,,,,,,,,
P_d350ab88fc,CRA大海物語3withアグネス・ラム SAP,P,三洋,海物語,,,,,,,
P_a16438daf7,CRA暴れん坊将軍 怪談 FPW,P,藤商事,,,,,,,,
P_b1f21562dd,CRA海物語 3R,P,三洋,海物語,,,,,,,
P_a5d9c0a3b0,CRA祭りだ!サブちゃん,P,アムテックス,,,,,,,,
P_5dbe67dfc8,CRA花の慶次X～雲のかなたに～ N-K,P,ニューギン,花の慶次,,,,,,,
P_ffbf9d6fc4,CRA遠山の金さん 二人の遠山桜 FPW,P,藤商事,,,,,,,,
P_959801c60e,CRA銀河鉄道999 99ver.,P,平和,,,,,,,,
P_31bd0feec0,CREA Newクレアの秘宝伝,P,大都技研,,,,,,,,
P_1215c1e0b5,CRぱちんこAKB48 バラの儀式 V9,P,京楽産業．,,,,,,,,
P_fb7ec868c2,CRぱちんこコードギアス 反逆のルルーシュ Z4,P,京楽産業．,,,,,,,,
P_2929236b82,CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,P,京楽産業．,,,,,,,,
P_7d6b3057f9,CRぱちんこ魔法少女まどか☆マギカ H2,P,京楽産業．,まどか☆マギカ,,,,,,,
P_33e9d3e3b1,CRひぐらしのなく頃に～叫～ 319Ver.,P,大一商会,,,,,,,,
P_d979bc8fa2,CRシュタインズ・ゲート 未来ガジェット319号機,P,ニューギン,,,,,,,,
P_c1cba3bd12,CRスーパー海物語 IN JAPAN 319バージョン,P,三洋,海物語,,,,,,,
P_a156372c45,CRスーパー海物語 IN JAPAN 金富士 新MAX319バージョン,P,三洋,海物語,,,,,,,
P_0e1be76be9,CRスーパー海物語IN沖縄3 桜ライト,P,三洋,海物語,,,,,,,
