series_name,brand_name,maker_name,parent_series_name,category_hint,memo
未分類,未分類,ニューギン,,P,ベースExcelから自動生成
未分類,未分類,ジェイビー,,P,ベースExcelから自動生成
未分類,未分類,平和,,P,ベースExcelから自動生成
未分類,未分類,藤商事,,P,ベースExcelから自動生成
未分類,未分類,アムテックス,,P,ベースExcelから自動生成
未分類,未分類,大都技研,,P,ベースExcelから自動生成
未分類,未分類,京楽産業．,,P,ベースExcelから自動生成
未分類,未分類,大一商会,,P,ベースExcelから自動生成
未分類,未分類,タイヨーエレック,,P,ベースExcelから自動生成
未分類,未分類,SANKYO,,P,ベースExcelから自動生成
未分類,未分類,七匠,,P,ベースExcelから自動生成
未分類,未分類,三洋,,P,ベースExcelから自動生成
未分類,未分類,豊丸,,P,ベースExcelから自動生成
未分類,未分類,高尾,,P,ベースExcelから自動生成
未分類,未分類,オーイズミ,,P,ベースExcelから自動生成
未分類,未分類,コナミ,,P,ベースExcelから自動生成
未分類,未分類,サンセイR&D,,P,ベースExcelから自動生成
未分類,未分類,サミー,,P,ベースExcelから自動生成
未分類,未分類,オッケー．,,P,ベースExcelから自動生成
未分類,未分類,サンスリー,,P,ベースExcelから自動生成
未分類,未分類,マルホン,,P,ベースExcelから自動生成
未分類,未分類,ディ・ライト,,P,ベースExcelから自動生成
未分類,未分類,ソフィア(フィールズ),,P,ベースExcelから自動生成
未分類,未分類,ビスティ,,P,ベースExcelから自動生成
未分類,未分類,高尾(オーイズミ),,P,ベースExcelから自動生成
未分類,未分類,西陣,,P,ベースExcelから自動生成
未分類,未分類,メーシー,,P,ベースExcelから自動生成
未分類,未分類,JFJ,,P,ベースExcelから自動生成
未分類,未分類,オレンジ,,P,ベースExcelから自動生成
未分類,未分類,ミズホ,,P,ベースExcelから自動生成
未分類,未分類,竹屋,,P,ベースExcelから自動生成
未分類,未分類,パオン・ディーピー,,P,ベースExcelから自動生成
未分類,未分類,カルミナ,,P,ベースExcelから自動生成
まどか☆マギカ,まどか☆マギカ,京楽産業．,,P,ベースExcelから自動生成
エヴァンゲリオン,エヴァンゲリオン,ビスティ,,P,ベースExcelから自動生成
ゴッド,ゴッド,サンセイR&D,,P,ベースExcelから自動生成
ゴッド,ゴッド,メーシー,,P,ベースExcelから自動生成
ゴッド,ゴッド,ミズホ,,P,ベースExcelから自動生成
ゴッド,ゴッド,ニューギン,,P,ベースExcelから自動生成
ソードアート・オンライン,ソードアート・オンライン,京楽産業．,,P,ベースExcelから自動生成
ソードアート・オンライン,ソードアート・オンライン,大都技研,,P,ベースExcelから自動生成
バジリスク,バジリスク,三洋,,P,ベースExcelから自動生成
リゼロ,リゼロ,大都技研,,P,ベースExcelから自動生成
ルパン三世,ルパン三世,平和,,P,ベースExcelから自動生成
ルパン三世,ルパン三世,アムテックス,,P,ベースExcelから自動生成
ルパン三世,ルパン三世,オリンピア,,P,ベースExcelから自動生成
北斗の拳,北斗の拳,サミー,,P,ベースExcelから自動生成
北斗の拳,北斗の拳,高尾,,P,ベースExcelから自動生成
北斗の拳,北斗の拳,高尾(オーイズミ),,P,ベースExcelから自動生成
戦国乙女,戦国乙女,アムテックス,,P,ベースExcelから自動生成
東京喰種,東京喰種,ビスティ,,P,ベースExcelから自動生成
海物語,海物語,三洋,,P,ベースExcelから自動生成
海物語,海物語,サンスリー,,P,ベースExcelから自動生成
牙狼,牙狼,サンセイR&D,,P,ベースExcelから自動生成
番長,番長,大都技研,,P,ベースExcelから自動生成
花の慶次,花の慶次,ニューギン,,P,ベースExcelから自動生成
未分類,未分類,サミー,,S,ベースExcelから自動生成
未分類,未分類,平和,,S,ベースExcelから自動生成
未分類,未分類,スパイキー,,S,ベースExcelから自動生成
未分類,未分類,七匠,,S,ベースExcelから自動生成
未分類,未分類,メーシー,,S,ベースExcelから自動生成
未分類,未分類,KPE,,S,ベースExcelから自動生成
未分類,未分類,コナミ,,S,ベースExcelから自動生成
未分類,未分類,岡崎産業,,S,ベースExcelから自動生成
未分類,未分類,京楽産業．,,S,ベースExcelから自動生成
